Esp;Nesp;Nesp2;France;Turquie;Espagne;Norfolk;Scientific name;Group;NomFR;GroupFR
amph;amph;amph;x;x;x;;Amphibia sp.;frog;Amphibien sp.;Autre
Antcho;Antcho;Antsp;x;;x;;Antaxius chopardi;bush-cricket;Antaxie catalane;Sauterelle
Anthis;Anthis;Antsp;x;;x;;Antaxius hispanicus;bush-cricket;Antaxie pyrénéenne;Sauterelle
Anthiu;Antius;Antsp;x;;x;;Antaxius spinibrachius;bush-cricket;Antaxie voyageuse;Sauterelle
Antius;Antius;Antsp;x;;x;;Antaxius spinibrachius;bush-cricket;Antaxie voyageuse;Sauterelle
Antped;Antped;Antsp;x;;;;Antaxius pedestris;bush-cricket;Antaxie marbree;Sauterelle
Antsor;Antsor;Antsp;x;;;;Antaxius sorrezensis;bush-cricket;Antaxie cevenole;Sauterelle
Antsp;Antsp;Antsp;x;;x;;Antaxius sp.;bush-cricket;Antaxie;Sauterelle
Apimel;Apimel;Apimel;x;;;x;Apis mellifera;bee;Abeille domestique;Autre
Apoagr;Aposp;Mimasp;x;;;;Apodemus agrarius;other mammal;Mulot rayé;Autre
Apofla;Aposp;Mimasp;x;x;x;;Apodemus flavicollis;other mammal;Mulot à collier;Autre
Aposp;Aposp;Mimasp;x;x;x;x;Apodemus sp.;other mammal;Mulot sp.;Autre
Aposyl;Aposp;Mimasp;x;x;x;x;Apodemus sylvaticus;other mammal;Mulot sylvestre;Autre
Arvamp;Arvsp;Arvsp;x;;x;x;Arvicola amphibius;other mammal;Campagnol amphibie;Autre
Arvsap;Arvsp;Arvsp;x;;x;;Arvicola sapidus;other mammal;Campagnol amphibie;Autre
Arvsch;Arvsp;Arvsp;x;;x;;Arvicola scherman;other mammal;Campagnol fouisseur;Autre
Arvsp;Arvsp;Arvsp;x;x;x;x;Arvicola sp.;other mammal;Campagnol amphibie/terrestre;Autre
Arvter;Arvsp;Arvsp;x;x;;x;Arvicola terrestris;other mammal;Campagnol terrestre;Autre
Barbar;Barbar;Barbar;x;x;x;x;Barbastella barbastellus;bat;Barbastelle d'Europe;Chauve-souris
Barfis;Barfis;Barfis;x;;;;Barbitistes fischeri;bush-cricket;Barbitiste languedocien;Sauterelle
Barsan;Barsan;Barfis;x;;x;;Barbitistes 'sanzii';bush-cricket;Barbitiste cryptique;Sauterelle
Barser;Barser;Barfis;x;;x;;Barbitistes serricauda;bush-cricket;Barbitiste des bois;Sauterelle
Bicbic;Bicbic;Metbra;x;;x;;Bicolorana bicolor;bush-cricket;Decticelle bicolore;Sauterelle
Bostau;Bostau;Bostau;x;;;x;Bos taurus;other mammal;Butor étoilé;Autre
buzz;noise;noise;x;x;x;x;insect wingbeats;noise;bourdonnement;Autre
Canfam;mamm;mamm;x;x;x;x;Canis lupus familiaris;other mammal;Chien;Autre
Cansp.;Cansp.;Cansp.;x;;;x;Lampyris sp.;beetle;Lampyre sp.;Autre
Capcap;Capcap;Capcap;x;;;x;Capreolus capreolus;other mammal;Chevreuil;Autre
Cappyr;Cappyr;Cappyr;x;;;;Capra pyrenaica;other mammal;Bouquetin d'Espagne;Autre
car;noise;noise;x;x;x;x;vehicle;noise;véhicule;Autre
Cerela;Cerela;Cerela;x;;;x;Cervus elaphus;other mammal;Cerf élaphe;Autre
Chioniv;Chioniv;Chioniv;x;x;x;;Chionomys nivalis;other mammal;Campagnol des neiges;Autre
chirp;chirp;noise;x;;;;chirp;noise;chirp;Autre
Chobru;criq;criq;x;;;x;Chorthippus brunneus;grasshopper;Criquet duettiste;Autre
Chovag;criq;criq;x;x;x;;Chorthippus vagans;grasshopper;Criquet des pins;Autre
Cicatr;Cicatr;cigale;x;x;x;;Cicadatra atra;cicada;Cigale noire;Autre
Cicorn;Cicorn;cigale;x;x;x;;Cicada orni;cicada;Cigale grise;Autre
cigale;cigale;cigale;x;x;x;x;Cicadoidea sp.;cicada;Cigale sp.;Autre
Concon;Concon;Confus;x;x;x;;Conocephalus conocephalus;bush-cricket;Conocéphale africain;Sauterelle
Condor;Condor;Confus;x;x;x;x;Conocephalus dorsalis;bush-cricket;Conocephale des marais;Sauterelle
Confus;Confus;Confus;x;;x;x;Conocephalus fuscus;bush-cricket;Conocephale bigarre;Sauterelle
Corcho;Epheph;Epheph;x;;;;Corsteropleurus chopardi;bush-cricket;Ephippigère corse;Sauterelle
criq;criq;criq;x;x;x;x;Caelifera sp.;grasshopper;Criquet sp.;Autre
Crorus;Mussp;Mussp;x;x;x;;Crocidura russula;other mammal;Crocidure musette;Autre
Culimp;Culimp;Culimp;x;;;x;Culicoides impunctatus;fly;Moustique;Autre
Cympud;Cympud;Cympud;x;;x;;Cymbalophora pudica;moth;Ecaille pudique;Autre
Cyrscu;Cyrscu;Cyrscu;x;;x;;Cyrtaspis scutata;bush-cricket;Meconeme a bouclier;Sauterelle
Decalb;Decalb;Decalb;x;x;x;;Decticus albifrons;bush-cricket;Dectique a front blanc;Sauterelle
elec;noise;noise;x;x;x;x;electronical noise;noise;parasite;Autre
Epheph;Epheph;Epheph;x;;x;;Ephippiger ephippiger;bush-cricket;Ephippigere des vignes;Sauterelle
Eptana;Eptnil;Eptnil;x;x;;;Eptesicus anatolicus;bat;Serotine d'Anatolie;Chauve-souris
Eptisa;Eptisa;Eptisa;;;x;;Eptesicus isabellinus;bat;Serotine isabelle;Chauve-souris
Eptnil;Eptnil;Eptnil;x;;x;;Eptesicus nilssonii;bat;Sérotine boréale;Chauve-souris
Eptser;Eptser;Eptser;x;x;x;x;Eptesicus serotinus;bat;Serotine commune;Chauve-souris
Equasi;Equasi;Equasi;x;;;x;Equus asinus;other mammal;Ane;Autre
Equfer;Equfer;Equfer;x;;;x;Equus ferus;other mammal;Cheval;Autre
Erieur;Erieur;Erieur;x;;;x;Erinaceus europaeus;other mammal;Hérisson d'Europe;Autre
Euccho;criq;criq;x;x;x;x;Euchorthippus chopardii;grasshopper;Criquet des bragalous;Autre
Eucele;criq;criq;x;;;;Euchorthippus elegantulus;grasshopper;Criquet blafard;Autre
Eugpip;gril;gril;x;;;;Eugryllodes pipiens;ground-cricket;Grillon de montagne;Autre
Eumbor;gril;gril;x;x;x;;Eumodycogryllus bordigalensis;ground-cricket;Grillon bordelais;Autre
Eupcha;Eupsp;Eupsp;x;x;;;Eupholidoptera chabrieri;bush-cricket;Decticelle splendide;Sauterelle
Eupsp;Eupsp;Eupsp;x;x;;;Eupholidoptera sp.;bush-cricket;Decticelle splendide;Sauterelle
Euptyr;Eupsp;Eupsp;x;x;x;;Eupholidoptera tyrrhenica;bush-cricket;Decticelle corse;Sauterelle
gril;gril;gril;x;x;x;x;Gryllidae sp.;ground-cricket;grillon sp.;Autre
Grybim;gril;gril;x;;;;Gryllus bimaculatus;ground-cricket;Grillon de Provence;Autre
Grycam;gril;gril;x;x;x;;Gryllus campestris;ground-cricket;Grillon champêtre;Autre
gunsht;gunsht;gunsht;x;;;x;Gun shot;noise;Tir;Autre
Homsap;mamm;mamm;x;x;x;x;Homo sapiens;other mammal;voix;Autre
Hylmer;amph;amph;x;;x;;Hyla meridionalis;frog;Rainette méridionale;Autre
Hypsav;Hypsav;Hypsav;x;x;x;;Hypsugo savii;bat;Vespere de Savi;Chauve-souris
Insp10;Insp10;Insp10;x;x;x;x;Insect sp.10;insect;Insecte sp. type 10;Autre
Insp11;Insp11;Insp11;x;x;x;x;Insect sp.11;insect;Insecte sp. type 11;Autre
Insp12;Insp12;Insp12;x;x;x;x;Insect sp.12;insect;Insecte sp. type 12;Autre
Inssp1;Inssp1;Inssp1;x;;x;x;Insect sp.1;insect;Insecte sp. type 1;Autre
Inssp2;Inssp2;Inssp2;x;;x;x;Insect sp.2;insect;Insecte sp. type 2;Autre
Inssp5;Inssp5;Inssp5;x;;x;x;Insect sp.5;insect;Insecte sp. type 5;Autre
Inssp6;Yposp;Yposp;x;;x;x;Insect sp.6;insect;Insecte sp. type 6;Autre
Inssp7;Inssp7;Inssp7;x;;x;x;Insect sp.7;insect;Insecte sp. type 7;Autre
Inssp8;Inssp8;Inssp8;x;x;x;x;Insect sp. 8;insect;Insecte sp. type 8;Autre
Inssp9;Yposp;Yposp;x;x;x;x;Insect sp. 9;insect;Insecte sp. type 9;Autre
INSSPE;INSSPE;INSSPE;x;;;x;Insect spp;insect;Insecte sp.;Autre
InsTu1;InsTu1;InsTu1;;x;;;Insect sp. from Turkey 1;insect;Insecte sp. Tu1;Autre
Isopyr;Isopyr;Isopyr;x;x;x;;Isophya pyrenaea;bush-cricket;Barbatiste pyreneen;Sauterelle
Lamsp.;Lamsp.;Lamsp.;x;x;x;x;Lampyris sp.;beetle;Lampyre sp.;Autre
Lepalb;Lepalb;Lepalb;x;x;;;Leptophyes albovittata;bush-cricket;Sauterelle rayee;Sauterelle
Lepbos;Lepbos;Lepbos;x;;;;Leptophyes boscii;bush-cricket;Sauterelle sarmate;Sauterelle
Leplat;Leplat;Leplat;x;;;;Leptophyes laticauda;bush-cricket;Sauterelle provençale;Sauterelle
Leppun;Leppun;Leppun;x;;x;x;Leptophyes punctatissima;bush-cricket;Sauterelle ponctuee;Sauterelle
Llusta;Llusta;Llusta;;;x;;Lluciapomaresius stalii;bush-cricket;Ephippigere de Stal;Sauterelle
Lyrple;Lyrple;cigale;x;x;x;;Lyristes plebejus;cicada;Cigale commune;Autre
mamm;mamm;mamm;x;x;x;x;Mammalia sp.;other mammal;Mammifere sp.;Autre
Marfoi;Marfoi;Marfoi;x;;;;Martes foina;other mammal;Fouine;Autre
Marmar;Marmar;Marmar;x;x;x;;Martes martes;other mammal;Martre;Autre
mec;noise;noise;x;x;x;x;mechanical noise;noise;autre bruit;Autre
Metbra;Metbra;Metbra;x;;;x;Metrioptera brachyptera;bush-cricket;Decticelle des bruyeres;Sauterelle
Metpul;Metpul;Metpul;x;;;;Metaplastes pulchripennis;bush-cricket;Barbitiste corse;Sauterelle
Metsau;Metbra;Metbra;x;x;x;;Metrioptera saussuriana;bush-cricket;Decticelle des alpages;Sauterelle
Micagr;Micagr;Micagr;x;x;x;x;Microtus agrestis;other mammal;Campagnol agreste;Autre
Micarv;Micagr;Micagr;x;;x;;Microtus arvalis;other mammal;Campagnol des champs;Autre
Micduo;Micagr;Micagr;x;;x;;Microtus duodecimcostatus;other mammal;Campagnol provençal;Autre
Micger;Micagr;Micagr;x;;x;;Microtus gerbei;other mammal;Campagnol des Pyrénées;Autre
Miclus;Micagr;Micagr;x;;x;;Microtus lusitanicus;other mammal;Campagnol basque;Autre
