"Directory or file in ""/sps/mnhn""";Space used;# of files;Average file size;Median file size;# of directories;# of symlinks;Most recent file access time;Most recent file modification time;participation;site;point;user;date;enregistreur;micro;latitude;longitude;carre
vigiechiro/vigiechiro-prod-datastore/55de9d24fdfe23000dc82e1d;19.14 GiB;35505;565.36 KiB;5.79 KiB;2;0;2022/06/23 16:27;2022/06/23 16:27;55de9d24fdfe23000dc82e1d;55de3072fdfe23000eef1182;Z1;558acd059dcbdc000e0793ee;2014-11-15T11:00:00Z;SM2BAT+;Micro interne;44.600693042626;5.16294121742249;Vigiechiro - Point Fixe-260947
vigiechiro/vigiechiro-prod-datastore/55eda15f73ac72000d26ad3b;30.13 GiB;29648;1.04 MiB;44.37 KiB;2;0;2022/06/23 16:27;2022/06/23 16:27;55eda15f73ac72000d26ad3b;55de3072fdfe23000eef1182;Z3;558acd059dcbdc000e0793ee;2015-07-12T19:40:00Z;SM2BAT+;Micro interne;44.600693042626;5.16294121742249;Vigiechiro - Point Fixe-260947
vigiechiro/vigiechiro-prod-datastore/56fd088fac03c9000de223bd;23.60 GiB;39569;625.51 KiB;3.14 KiB;0;0;2019/10/11 14:04;2019/09/19 18:31;56fd088fac03c9000de223bd;5656e62cb20ecb0018530b49;Z1;558acd059dcbdc000e0793ee;2013-07-21T18:45:00Z;SM2BAT+;SMX-US;42.563369679505;2.52705931663513;Vigiechiro - Point Fixe-660597
vigiechiro/vigiechiro-prod-datastore/5768ded41f812d0015eb9d28;50.36 GiB;46683;1.10 MiB;633.00 B;0;0;2022/06/09 14:46;2022/06/09 14:46;5768ded41f812d0015eb9d28;57531c5f269996000dc2f21c;Z1;558acd059dcbdc000e0793ee;2016-05-26T18:30:00Z;SM2BAT+;SMX-US;43.729696803583;3.8307335972786;Vigiechiro - Point Fixe-340334
vigiechiro/vigiechiro-prod-datastore/579a1f1f8b10e500170a9479;23.60 GiB;21614;1.12 MiB;48.53 KiB;0;0;2022/06/06 10:40;2022/06/06 10:40;579a1f1f8b10e500170a9479;579a1d2cd8c66a000c810479;D2;5b0f069d0ded28000fe09ba1;2014-09-14T19:14:00Z;SM2BAT+;SMX-US;44.3064529688323;5.18408238887787;Vigiechiro - Point Fixe-261492
vigiechiro/vigiechiro-prod-datastore/57a1c86adb6467000d0cbaad;70.81 GiB;59624;1.22 MiB;107.84 KiB;0;0;2019/09/22 16:12;2019/09/20 00:55;57a1c86adb6467000d0cbaad;57a1c672695514000efde1ee;A1;587cf578f63f32000f25fc90;2014-07-30T21:00:00Z;SM2BAT+;;44.0372416344456;2.01659202575684;Vigiechiro - Point Fixe-810183
vigiechiro/vigiechiro-prod-datastore/57b6d25b77f6c1000ec40c17;14.91 GiB;14055;1.09 MiB;39.85 KiB;0;0;2022/06/23 16:27;2022/06/23 16:27;57b6d25b77f6c1000ec40c17;57b4884a690dd8000d54f674;Z2;562f85355e04c6000c1e5e45;2016-07-10T19:30:00Z;SM2BAT+;SMX-US;43.9452294838202;5.29379814863205;Vigiechiro - Point Fixe-840573
vigiechiro/vigiechiro-prod-datastore/57b708dc6821e5000cac73a7;4.98 GiB;5658;923.59 KiB;14.83 KiB;0;0;2022/06/15 23:11;2022/06/16 18:14;57b708dc6821e5000cac73a7;579f7f7e254fe2000cc9558b;Z1;558acd059dcbdc000e0793ee;2012-06-02T18:50:00Z;SM2BAT+;SMX-US;43.3848676735143;2.86778032779694;Vigiechiro - Point Fixe-341336
vigiechiro/vigiechiro-prod-datastore/57bd72c8ffdbe1000e09f135;14.83 GiB;21471;724.33 KiB;4.84 KiB;0;0;2022/06/16 05:38;2022/06/17 00:31;57bd72c8ffdbe1000e09f135;5794fb4e2a2430000c574a5d;Z2;558acd059dcbdc000e0793ee;2016-08-19T18:20:00Z;SM2BAT+;SMX-U1;43.7434059780651;3.77097129821777;Vigiechiro - Point Fixe-340289
vigiechiro/vigiechiro-prod-datastore/57cabf399ecd86000d8832ec;19.06 GiB;17057;1.14 MiB;73.72 KiB;0;0;2022/06/16 01:19;2022/06/16 20:08;57cabf399ecd86000d8832ec;5767acc0674c70000ee434aa;Z5;562f85355e04c6000c1e5e45;2016-09-02T17:30:00Z;SM2BAT+;SMX-US;43.8921228915225;5.34007765352726;Vigiechiro - Point Fixe-840638
