term;Estimate;Std..Error;z.value;Pr...z..;bt_mean;bt_sd;coef_raw;coef;ICinf;ICsup;VIF;res
year;0.259169591320967;0.0386902111254683;6.69858302092246;2.10450151448777e-11;2015.02473122593;4.55714780941142;1.29585355170955;1.05851926148916;1.04105112815281;1.07628049828028;1.0180506749215;Barbar_sorting_0_Coefs.csv
year;0.0904246788506784;0.038460059085957;2.35113208350986;0.0187163887047127;2015.5914490876;4.26057859697465;1.09463905506475;1.02145038955977;1.00353729907246;1.03968322781441;1.02100279293461;Barbar_sorting_23_Coefs.csv
year;0.0985562236014523;0.0386635062141438;2.54907620264917;0.0108008696828577;2015.59041942605;4.26202702063452;1.10357644969265;1.02339369918379;1.00535851021558;1.04175242253084;1.02137580423427;Barbar_sorting_45_Coefs.csv
year;0.222232197743582;0.0582188556942804;3.81718594591708;0.000134982440327434;2015.96827450429;4.28047253415115;1.24886132698239;1.05328903082972;1.02558188114699;1.08174471766746;5.36798626496015;Barbar_sorting_60_Coefs.csv
year;0.180772047738941;0.0423501337764764;4.26851184681149;1.96781378452673e-05;2015.59041942605;4.26202702063452;1.19814202897719;1.0433269222075;1.02320428375508;1.06384529842677;1.02728672109894;Barbar_sorting_custom_Coefs.csv
year;0.773911898107316;0.145756686016848;5.30961508014708;1.09857000547819e-07;2017.2866927593;3.70941033086356;2.16823158626903;1.23199493055203;1.14067522798828;1.33062546784921;1.39346076317226;Barbar_sorting_customARA_Coefs.csv
year;0.260722853007824;0.0607571867093211;4.29122655489619;1.77688913871918e-05;2016.05134424904;3.29438980040991;1.29786791539518;1.08235743282227;1.04393225238624;1.12219697179371;1.03001744192937;Barbar_sorting_customBRETAGNE_Coefs.csv
year;-0.230649316473011;0.0824120245953448;-2.79873377223207;0.00513034176178623;2015.01417570879;4.52036742386042;0.794017866203026;0.950255424967845;0.916899794102876;0.984824490624223;1.02948304594055;Barbar_sorting_customCENTRE_Coefs.csv
year;0.137711503973838;0.145012179802659;0.949654740458659;0.342287714013893;2013.43108384458;4.33591732648538;1.14764441165818;1.03227039022844;0.966775286515899;1.10220252152137;1.30478130956706;Barbar_sorting_customNORMANDIE_Coefs.csv
year;0.174202651080673;0.0203636266009913;8.55459857391968;1.18279611704673e-17;2015.02473122593;4.55714780941142;1.19029675630477;1.03896626776397;1.02990662363831;1.04810560566943;1.00547687123199;Eptser_sorting_0_Coefs.csv
year;0.174202651080673;0.0203636266009913;8.55459857391968;1.18279611704673e-17;2015.02473122593;4.55714780941142;1.19029675630477;1.03896626776397;1.02990662363831;1.04810560566943;1.00547687123199;Eptser_sorting_0_RP0_PF0_Coefs.csv
year;0.140779275676521;0.0251063667240539;5.60731376323136;2.05490936719814e-08;2015.02473122593;4.55714780941142;1.15117052860448;1.03137407903836;1.02029732697813;1.04257108470797;1.00830627434018;Eptser_sorting_0_RP20_PF50_Coefs.csv
year;0.137574731591382;0.0263156093132733;5.22787559100869;1.71468821154661e-07;2015.02473122593;4.55714780941142;1.1474874563316;1.03064908128474;1.01904999232156;1.04238019406008;1.009185517218;Eptser_sorting_0_RP35_PF50_Coefs.csv
year;0.129205271869019;0.0273868674935775;4.71778205007635;2.38429720911305e-06;2015.02473122593;4.55714780941142;1.13792368391469;1.02875797304453;1.01671162659678;1.0409470487175;1.00989440398971;Eptser_sorting_0_RP50_PF50_Coefs.csv
year;-0.0342195674593042;0.0193190467984968;-1.77128653479771;0.0765130654553191;2015.5914490876;4.26057859697465;0.966359300285435;0.992000496249717;0.983223443857686;1.00085589975225;1.00559463206368;Eptser_sorting_23_Coefs.csv
year;-0.0342195674593042;0.0193190467984968;-1.77128653479771;0.0765130654553191;2015.5914490876;4.26057859697465;0.966359300285435;0.992000496249717;0.983223443857686;1.00085589975225;1.00559463206368;Eptser_sorting_23_RP0_PF0_Coefs.csv
year;-0.0765403398696176;0.0239771322645927;-3.19222244866395;0.00141182556962111;2015.5914490876;4.26057859697465;0.926315546086759;0.982195628666694;0.971421508718639;0.993089245310687;1.00845351793703;Eptser_sorting_23_RP20_PF50_Coefs.csv
year;-0.0816352963617826;0.0252368600096141;-3.23476440138286;0.00121743142298969;2015.5914490876;4.26057859697465;0.921608011207535;0.981021785033979;0.969698434798952;0.992477360150417;1.00935870191126;Eptser_sorting_23_RP35_PF50_Coefs.csv
year;-0.0952288516754356;0.0264139398486046;-3.60524981207854;0.000311852800077388;2015.5914490876;4.26057859697465;0.909164846760101;0.977896781622387;0.96608623978119;0.989851709019282;1.01011217597732;Eptser_sorting_23_RP50_PF50_Coefs.csv
year;-0.028404459162572;0.0193674219784086;-1.46661022795074;0.142482116104868;2015.59041942605;4.26202702063452;0.971995154941146;0.99335761655526;0.984549627588696;1.00224440365191;1.00563257532498;Eptser_sorting_45_Coefs.csv
year;-0.028404459162572;0.0193674219784086;-1.46661022795074;0.142482116104868;2015.59041942605;4.26202702063452;0.971995154941146;0.99335761655526;0.984549627588696;1.00224440365191;1.00563257532498;Eptser_sorting_45_RP0_PF0_Coefs.csv
year;-0.0733867462275646;0.0240056992321998;-3.05705514001975;0.00223523153875456;2015.59041942605;4.26202702063452;0.929241379924105;0.982928652747177;0.972137364986442;0.993839730051786;1.00849671310863;Eptser_sorting_45_RP20_PF50_Coefs.csv
year;-0.07883863961275;0.0252686302691457;-3.12002030869936;0.00180838571576406;2015.59041942605;4.26202702063452;0.924189039915471;0.981672115374245;0.970330910465776;0.993145876019513;1.00940817982582;Eptser_sorting_45_RP35_PF50_Coefs.csv
year;-0.0931085178515517;0.026451015186542;-3.52003570354171;0.000431488711061231;2015.59041942605;4.26202702063452;0.91109462490011;0.978390832390709;0.966561835342255;0.990364595315546;1.01016715281768;Eptser_sorting_45_RP50_PF50_Coefs.csv
