Group.1;x;Priorité
TURMER;10533;1
SYLATR;10493;1
FRICOE;10397;1
PARMAJ;10258;1
CORCOR;10163;1
COLPAL;10055;1
PHYCOL;9710;1
PASDOM;9435;1
TROTRO;9265;1
PARCAE;9002;1
ERIRUB;8906;1
STRDEC;8756;1
TURPHI;8516;1
STUVUL;8513;1
CUCCAN;8091;1
CARCHL;8006;1
PICVIR;7647;1
GARGLA;7555;1
LUSMEG;7436;1
ALAARV;7326;1
PICPIC;7317;1
PHOOCH;7272;1
SYLCOM;6973;2
DENMAJ;6935;2
CARCAR;6800;2
STRTUR;6484;2
EMBCIT;6467;2
CERBRA;6224;2
MOTALB;5781;2
HIPPOL;5636;2
PRUMOD;5634;2
BUTBUT;5617;2
ORIORI;5517;2
HIRRUS;5515;2
SAXTOR;5369;2
SITEUR;4953;2
PHACOL;4898;2
TURVIS;4692;2
EMBCIR;4659;2
CARCAN;4571;2
ANTTRI;4381;2
SERSER;4195;2
SYLBOR;4017;2
FALTIN;3871;2
AEGCAU;3770;2
MILCAL;3591;2
LULARB;3472;2
LANCOL;3071;2
UPUEPO;2958;2
ANAPLA;2746;2
PHOPHO;2740;2
REGIGN;2526;2
PARPAL;2340;2
MOTFLA;2029;2
GALCHL;1971;2
ARDCIN;1922;2
CORMON;1865;2
CORFRU;1817;3
COTCOT;1750;3
REGREG;1644;3
COLLIV;1507;3
DRYMAR;1491;3
ALERUF;1437;3
DELURB;1411;3
PARATE;1397;3
PERPER;1384;3
MILMIG;1359;3
PHYBON;1246;3
PARCRI;1213;3
PYRPYR;1194;3
PASMON;1172;3
APUAPU;1128;3
CETCET;1076;3
PHYTRO;997;3
FULATR;946;3
JYNTOR;944;3
COCCOC;887;3
DENMIN;887;3
ACRSCI;869;3
SYLCUR;852;3
VANVAN;724;3
LOCNAE;712;3
CISJUN;710;3
PHYSIB;697;3
MUSSTR;687;3
COLOEN;686;4
MOTCIN;675;4
BUROED;581;4
SYLMEL;519;4
EMBSCH;475;4
CIRCYA;467;4
PARMON;443;4
TURPIL;443;4
PODCRI;422;4
ACCNIS;420;4
ANTPRA;416;4
CORRAX;396;4
CERFAM;375;4
LARRID;363;4
LARARG;347;4
DENMED;346;4
STRALU;343;4
ACRRIS;340;4
ALCATT;331;4
TACRUF;330;4
GALCRI;325;4
SAXRUB;313;4
CYGOLO;306;5
EGRGAR;284;5
ATHNOC;276;5
ACRSCH;274;5
CIRPYG;274;5
PHACAR;272;5
SYLCAN;269;5
MERAPI;241;5
LUSSVE;230;5
TADTAD;229;5
CIRAER;221;5
ANTCAM;219;5
NUMARQ;216;5
MILMIL;214;5
CICCIC;199;5
LARMIC;195;5
BUBIBI;184;5
LANSEN;180;5
OENOEN;179;5
FALSUB;173;5
EMBHOR;168;5
ACTHYP;166;5
EMBCIA;157;5
LARFUS;155;5
LOXCUR;145;5
FICHYP;143;5
PETPET;140;5
SYLHOR;133;5
HIMHIM;127;5
TRITOT;119;5
SYLUND;116;5
CINCIN;115;5
CLAGLA;114;5
RALAQU;114;5
HIPICT;113;5
TETRAX;113;5
CHADUB;112;5
TURTOR;105;5
ACRARU;104;5
STEHIR;102;5
PERAPI;99;5
CORGAR;89;5
AYTFUL;85;5
RECAVO;74;5
CIRGAL;73;5
EGRALB;73;5
NUMPHA;72;5
PICCAN;70;5
CARSPI;69;5
NYCNYC;67;5
RIPRIP;67;5
TRIOCH;67;5
BRACAN;63;5
ARDPUR;62;5
LARMEL;59;5
ASIOTU;57;5
AYTFER;56;5
FALPER;56;5
LANEXC;56;5
ANACLY;53;5
ANASTR;51;5
NUCCAR;50;5
PTYRUP;50;5
LANMER;48;5
SERCIT;46;5
MOTIMA;45;5
ANTSPI;43;5
TRINEB;42;5
ACCGEN;41;5
LARMAR;36;5
SYLCON;36;5
MONSAX;35;5
ALOAEG;34;6
TETRIX;34;6
NETRUF;30;6
PYRRAX;30;6
OTUSCO;29;6
GALGAL;26;6
CAPEUR;23;6
FRIMON;22;6
LOCLUS;22;6
OENHIS;22;6
TURILI;22;6
ANAQUE;20;6
CARFLA;18;6
STEALB;18;6
BOTSTE;17;6
CALBRA;17;6
GYPFUL;17;6
LIMLIM;17;6
CRECRE;15;6
FALNAU;15;6
PHORUB;15;6
CHLHYB;14;6
FALVES;14;6
MONSOL;13;6
PANBIA;13;6
PRUCOL;13;6
AREINT;12;6
CALALP;12;6
CICNIG;12;6
LARCAN;12;6
MELCAL;12;6
TRIGLA;12;6
IXOMIN;11;6
MERMER;11;6
ALEGRA;10;6
ANSANS;10;6
CHAHIA;10;6
PSIKRA;10;6
ANACRE;9;6
CHAALE;9;6
FALCOL;9;6
PLALEU;9;6
TYTALB;9;6
ANAACU;8;6
BUBBUB;8;6
PHIPUG;8;6
PYRGRA;8;6
ACRPAL;7;6
APUMEL;7;6
FICALB;7;6
LAGMUT;7;6
TRIERY;7;6
HAEOST;6;6
HIPPAL;6;6
PANHAL;6;6
PASITA;6;6
PLUAPR;6;6
THRAET;6;6
AIXGAL;5;6
AQUCHR;5;6
CALALB;5;6
GRUGRU;5;6
HIEPEN;5;6
HIRDAU;5;6
PLUSQU;5;6
SYRREE;5;6
ANTPET;4;6
ARDRAL;4;6
ELACAE;4;6
EREALP;4;6
LAGLAG;4;6
LUSLUS;4;6
SCORUS;4;6
AIXSPO;3;6
ALCTOR;3;6
ANAPEN;3;6
ANTRIC;3;6
CALMIN;3;6
CYGATR;3;6
EMBCAE;3;6
EMBMEL;3;6
FRAARC;3;6
FULCRI;3;6
LIMLAP;3;6
NEOPER;3;6
PHOCHI;3;6
STESAN;3;6
STUUNI;3;6
TETURO;3;6
ALLALL;2;6
ANSIND;2;6
