id,nom_carre.x,nom_carre_fnat.x,commune.x,site.x,etude.x,insee.x,departement.x,altitude.x,area.x,perimeter.x,alea.x,SpHO31S,SpHO32S,SpHO36S,SpHO11S,SpHO12S,SpHO34S,SpHO42S,SpHO211S,SpHO51S,SpHO43S,SpHO222S,SpHO41S,SpHO221S,SpHO45S,SpHO46S,SpHO21S,SpHO22S,SpHO1S,SpHO2S,SpHO3S,SpHO4S,SpHO5S,SpHO11M,SpHO12M,SpHO31M,SpHO32M,SpHO34M,SpHO36M,SpHO42M,SpHO211M,SpHO222M,SpHO43M,SpHO45M,SpHO46M,SpHO51M,SpHO221M,SpHO41M,SpHO44M,SpHO0M,SpHO21M,SpHO22M,SpHO1M,SpHO2M,SpHO3M,SpHO4M,SpHO5M,SpHC111M,SpHC112M,SpHC121M,SpHC122M,SpHC123M,SpHC124M,SpHC131M,SpHC133M,SpHC141M,SpHC142M,SpHC211M,SpHC213M,SpHC221M,SpHC222M,SpHC223M,SpHC231M,SpHC242M,SpHC243M,SpHC311M,SpHC312M,SpHC313M,SpHC321M,SpHC322M,SpHC323M,SpHC324M,SpHC331M,SpHC332M,SpHC333M,SpHC411M,SpHC421M,SpHC423M,SpHC511M,SpHC512M,SpHC521M,SpHC111L,SpHC112L,SpHC121L,SpHC122L,SpHC123L,SpHC124L,SpHC131L,SpHC132L,SpHC133L,SpHC141L,SpHC142L,SpHC211L,SpHC213L,SpHC221L,SpHC222L,SpHC223L,SpHC231L,SpHC241L,SpHC242L,SpHC243L,SpHC311L,SpHC312L,SpHC313L,SpHC321L,SpHC322L,SpHC323L,SpHC324L,SpHC331L,SpHC332L,SpHC333L,SpHC411L,SpHC412L,SpHC421L,SpHC422L,SpHC423L,SpHC511L,SpHC512L,SpHC521L,SpHC522L,SpHC523L,SpAltiS,SpAltiM,SpAltiL,SpBioc01,SpBioc02,SpBioc03,SpBioc04,SpBioc05,SpBioc06,SpBioc07,SpBioc08,SpBioc09,SpBioc10,SpBioc11,SpBioc12,SpBioc13,SpBioc14,SpBioc15,SpBioc16,SpBioc17,SpBioc18,SpBioc19,SpALAN_M,SpALAN_L,Group.1.x,Group.2.x,nom_carre.y,nom_carre_fnat.y,commune.y,site.y,etude.y,insee.y,departement.y,altitude.y,area.y,perimeter.y,alea.y,SpWS_S,SpWS_M,SpWS_L,SpWC_S,SpWC_M,SpWC_L,Group.1.y,Group.2.y,Group.1,Group.2
1,Carré EPS N°261018,Carré EPS N°1018,"","",STOC_EPS,0,26,479,4000000,8000,0.062513728,0.653846153846154,0.346153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00127356087620988,0.00305654610290372,0.405501782985227,0.159449821701477,0.296484971981661,0.0291645440652063,0.00840550178298523,0.0965359144167091,0.000127356087620988,0,0,0,0,0,0,0,0,0.0965359144167091,0.000127356087620988,0.0043301069791136,0.0966632705043301,0.890601120733571,0.00840550178298523,0,0,0,0,0,0,0,0,0,0,0,0.330820786818309,0,0,0,0,0.0847601452838293,0,0,0.513939215293672,0.0541114956783853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068310422158778,0,0,0,0,0,0,0,0,0,0.0676535010703589,0,0,0,0,0.153115697636354,0,0.153979014940742,0.112084461591048,0.130365144264987,0.176886766329087,0.116382683234163,0.00410152756586048,0.00705517599484497,0.0449932115071153,0.0101834167330225,0,0,0,0,0,0,0,0,0,0,0,0,0,540.150024414063,499.643338034339,594.301111507614,10.7977916002274,10.1530831654867,37.2371564022308,630.233692400572,24.0550003051758,-3.21099996566772,27.2660002708435,11.2953331867854,18.7953333854675,18.7953333854675,3.42966657876968,995,125,49,24.7705433357622,329,190,190,222,0.11955102533102,0.242633655154986,5.144043919,44.57088127,Carré EPS N°261018,Carré EPS N°1018,"","",STOC_EPS,0,26,479,4000000,8000,0.062513728,0,0,0,0,221.939507712253,57450.5005955168,870222.589264927,6388066.81904813,870222.589264927,6388066.81904813
2,Carré EPS N°051366,Carré EPS N°1366,"","",STOC_EPS,0,5,613,4000000,8000,0.387014823,0.935064935064935,0.038961038961039,0.025974025974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000636942675159236,0.0243312101910828,0.232611464968153,0.156433121019108,0.220509554140127,0.024968152866242,0.00292993630573248,0,0,0.000636942675159236,0.00203821656050955,0.0931210191082803,0.0089171974522293,0.232866242038217,0,0,0,0,0.232866242038217,0.024968152866242,0.232866242038217,0.634522292993631,0.0987261146496815,0.0089171974522293,0,0,0,0,0,0,0,0,0,0,0.539161038041052,0,0,0,0,0,0,0,0,0,0.311856093400181,0,0,0,0,0.132614511643991,0,0,0,0,0,0,0,0,0,0.0279889423082474,0.00727952917648719,0,0,0,0,0,0,0,0,0.161625014447755,0,0,0.0608636386793489,0,0.0203579682901667,0,0.0871069015466986,0.0293965854395391,0.124453503229354,0.111363018311166,0.0905083953950154,0.0173741856243901,0.0353260075469219,0.0613441260959985,0.0748278640279405,0.0289891342573684,0,0.0448268287068983,0,0,0,0,0,0,0,0,0,0,582.609985351563,603.941898986371,720.855761810565,10.6727917132278,10.4520832821727,36.4552443477726,662.957958912858,24.8950004577637,-3.77600002288818,28.6710004806519,11.1296667257945,19.1226665178935,19.1226665178935,2.88816674550374,876,99,43,20.7438534832486,276,180,180,202,0.186624810099602,1.03747939415189,5.783312104,44.31865592,Carré EPS N°051366,Carré EPS N°1366,"","",STOC_EPS,0,5,613,4000000,8000,0.387014823,0,0,7.62603005572256e-05,0,951.18048284778,82481.2886867152,921944.979275643,6361648.68169699,921944.979275643,6361648.68169699
3,Carré EPS N°511549,Carré EPS N°1549,"","",STOC_EPS,0,51,148,4000000,8000,0.124009809,0.95,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.95,0,0,0.114067472947167,0.671801400381922,0.189306174411203,0.00483768300445576,0.000127307447485678,0.00776575429662635,0.000254614894971356,0.011839592616168,0,0,0,0,0,0,0,0,0,0.011839592616168,0,0.78586887332909,0.011839592616168,0.202036919159771,0.000254614894971356,0,0,0,0,0,0,0,0,0,0,0,0.718430805194525,0,0,0,0,0,0,0,0,0.011187344738996,0.254013493160513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392642969382512,0.00675795784768018,0,0,0,0,0,0,0,0,0.8694875061034,0,0,0,0,0,0,0,0.000302748903032853,0.0222062994994614,0.014953374436604,0.0127212265605684,0,0.0179382327944568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.699996948242,138.45579694665,149.327662424983,10.1939166126152,8.82449989765883,35.7498780270776,587.293245200153,21.9689998626709,-2.71500015258789,24.6840000152588,17.2983334859212,6.10966671506564,17.6574997901917,3.26166662077109,630,63,42,12.6144621600459,178,129,177,150,0.206224471330643,0.606934864141235,4.037611294,48.76808475,Carré EPS N°511549,Carré EPS N°1549,"","",STOC_EPS,0,51,148,4000000,8000,0.124009809,0,0,0.000426454906090171,0,0,13553.7095292584,776260.55956063,6852499.28303144,776260.55956063,6852499.28303144
4,CARRE N°740628,"",Desingy,Desingy,STOC_EPS,74100,74,371,4000000,8000,0.467210225,0.0256410256410256,0,0,0,0.0128205128205128,0.256410256410256,0.371794871794872,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0.0128205128205128,0.333333333333333,0.282051282051282,0.371794871794872,0,0.0991472572228586,0.0148911798396334,0.186585210640193,0.000636375206821942,0.0304187348860888,0.000127275041364388,0.0781468753977345,0.589665266641212,0,0.000381825124093165,0,0,0,0,0,0,0,0.589665266641212,0,0.114038437062492,0.589665266641212,0.217767595774469,0.0785287005218277,0,0,0,0,0,0,0,0,0,0,0,0.438289060840357,0,0,0,0,0.244192124506117,0.0749861728646562,0,0.226164284862237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222881918240506,0.00439197240820435,0,0,0,0,0,0,0,0,0.327978728977324,0,0.00397742156100908,0.00912180740162825,0,0.164031781070694,0,0.111389191052771,0.0442399935584854,0.288465605208291,0.00375427255805207,0,0,0.00399267746332862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.850006103516,406.281417738461,454.421569337004,10.4944999714692,8.90316691001256,33.3451946577284,662.007962321099,23.3269996643066,-3.3730001449585,26.6999998092651,10.771500090758,6.26016668478648,18.7791665395101,2.55983338753382,1058,105,73,12.7497014742981,307,236,247,263,0.696103572845459,0.970554694476256,5.889704131,46.00807333,CARRE N°740628,"",Desingy,Desingy,STOC_EPS,74100,74,371,4000000,8000,0.467210225,0,0,0,0,906.462847550196,64826.3493948729,923560.005081007,6549461.55052007,923560.005081007,6549461.55052007
5,Carré EPS N°260364,Carré EPS N°0364,"","",STOC_EPS,0,26,1018,4000000,8000,0.736051982,0.858974358974359,0.0128205128205128,0.0128205128205128,0,0,0.102564102564103,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0.987179487179487,0.0128205128205128,0,0,0.000127323656735421,0.644766997708174,0.0476190476190476,0.152151769798829,0.0445632798573975,0.0124777183600713,0.0976572447160683,0,0.000636618283677107,0,0,0,0,0,0,0,0.0976572447160683,0,0.000127323656735421,0.0976572447160683,0.889101094983448,0.0131143366437484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318951394891506,0.664680248200849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010914555624604,0,0,0,0,0,0,0,0,0,0.00776965189831991,0,0,0,0,0.200440086041921,0,0.0250445511052243,0.016151238373584,0.291568879376374,0.0450871962210869,0.301070467365557,0.0608466595698621,0.0163951514976578,0,0.004738071028694,0,0.00360513498030078,0,0,0,0,0,0,0,0,0,0,0,969.940002441406,1007.71118164063,1089.52452357549,7.7316666355667,8.7693331418559,35.7333992998112,589.775319970296,20.0189990997314,-4.52199983596802,24.5409989356995,8.44499986308316,15.2080000241598,15.2080000241598,1.01050007343292,1217,131,65,18.4107848003866,370,251,251,285,0.178979143500328,0.26461467697316,5.390861178,44.94233754,Carré EPS N°260364,Carré EPS N°0364,"","",STOC_EPS,0,26,1018,4000000,8000,0.736051982,0,0,0,0,0,5823.15777197727,888563.464020672,6429869.58128093,888563.464020672,6429869.58128093
6,CARRE N°380299,Carré EPS N°0299,Sainte-Blandine,La Tour-du-Pin,STOC_EPS,38369,38,331,4000000,8000,0.71779006,0,0.012987012987013,0,0.025974025974026,0.025974025974026,0,0.883116883116883,0.051948051948052,0,0,0,0,0,0,0,0.051948051948052,0,0.051948051948052,0.051948051948052,0.012987012987013,0.883116883116883,0,0.183023196533265,0.0483048687229161,0.0846291103747132,0.00242161611011981,0.00866683660463931,0.00012745347947999,0.103747132296712,0.535941881213357,0.00140198827427989,0.0317359163905175,0,0,0,0,0,0,0,0.535941881213357,0.00140198827427989,0.231328065256182,0.537343869487637,0.0958450165689523,0.135483048687229,0,0,0.0686775233584394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440963874976443,0.473990244740058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11825097463886,0.020033951373931,0,0,0,0,0,0,0,0,0.223328140511236,0,0,0,0,0.0787803239186963,0,0.314692639878193,0.104923485301088,0.113639403038173,0,0,0,0,0,0.00978042039476081,0,0,0,0,0,0,0,0,0,0.000202304028836762,0,0,0,364.730010986328,363.283093788641,422.819645653755,10.7158333187302,9.13866652548313,33.5216295840153,663.744976684027,23.7369995117188,-3.52500009536743,27.2619996070862,10.9954999685287,2.7761667072773,19.066833337148,2.7761667072773,1101,115,74,16.3261508319814,331,238,247,238,2.68774914741516,3.7243139683054,5.4246826,45.55357688,CARRE N°380299,Carré EPS N°0299,Sainte-Blandine,La Tour-du-Pin,STOC_EPS,38369,38,331,4000000,8000,0.71779006,0,0,0.00168491266504792,0,261.551721221832,60783.8598603698,889145.919472557,6497802.37386656,889145.919472557,6497802.37386656
7,Carré EPS N°650569,Carré EPS N°0569,"","",STOC_EPS,0,65,563,4000000,8000,0.046163847,0.0256410256410256,0,0,0,0,0,0,0.974358974358974,0,0,0,0,0,0,0,0.974358974358974,0,0,0.974358974358974,0.0256410256410256,0,0,0,0,0.105605095541401,0.0210191082802548,0.0323566878980892,0.0135031847133758,0.00993630573248408,0.817324840764331,0,0,0.000254777070063694,0,0,0,0,0,0,0.817324840764331,0,0,0.817324840764331,0.172484076433121,0.0101910828025478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959122137467038,0,0.673291599103772,0,0,0,0.214427830234035,0,0,0,0,0,0,0,0,0,0,0,0.000972317020481921,0.0270931166180001,0.00347585868050789,0,0,0,0.0132378730836256,0,0,0,0.0139359288799671,0.000260364190885488,0,0,0,0,0.221778399140604,0,0.23736323109322,0.0166643860332317,0.401720800991015,0.00855787423991078,0.00849095579989738,0.00140861386416757,0.0209009281372022,0,0,0,0,0,0,0,0,0,0,0,0.00777099531113443,0,0,0,586.650024414063,594.153427342006,550.285833905537,11.521583283941,9.65450007716815,39.6749408408876,532.418084761806,23.6979999542236,-0.635999977588654,24.3339999318123,12.864666779836,18.2561664581299,18.2561664581299,5.29749991496404,1099,115,67,13.2402542211469,314,229,229,271,0.463103234767914,1.1184462621212,0.537104864,43.04545173,Carré EPS N°650569,Carré EPS N°0569,"","",STOC_EPS,0,65,563,4000000,8000,0.046163847,0,0,0.00687666904703881,0,0,50131.7195883937,499183.923141861,6219369.52790525,499183.923141861,6219369.52790525
8,CARRE N°380525,"",Massieu,colombier,STOC_EPS,38222,38,475,4000000,8000,0.085389312,0.189873417721519,0,0.0126582278481013,0,0,0.215189873417722,0.0379746835443038,0.544303797468355,0,0,0,0,0,0,0,0.544303797468355,0,0,0.544303797468355,0.417721518987342,0.0379746835443038,0,0.0314609603872118,0.0135014647815565,0.353203413577888,0.00292956311297924,0.0149025601834161,0.00101897847407974,0.133358807795185,0.448605273213603,0,0.00101897847407974,0,0,0,0,0,0,0,0.448605273213603,0,0.0449624251687683,0.448605273213603,0.372054515348363,0.134377786269265,0,0,0,0,0,0,0,0,0,0,0,0.0177669693951053,0,0,0,0,0,0.60846464925924,0,0.302242547738676,0,0,0,0,0,0,0,0,0,0.0551574766978429,0,0,0,0,0,0,0.0491475268900688,0,0,0,0,0,0,0,0,0,0.0554107915948766,0,0,0,0,0.257097379007738,0,0.227566927980965,0.0311491153789745,0.284764902251172,0.0196148786138532,0.0248494769190377,0,0,0,0,0,0,0,0.0190449747538216,0,0,0,0,0,0.0149856696927428,0,0,0,492.529998779297,488.994963263073,599.985601438016,10.2535415838162,9.35908310612043,34.3793235609769,655.613480324915,23.2159996032715,-4.00699996948242,27.2229995727539,10.6116666396459,18.4838331540426,18.4838331540426,2.43083335955938,1123,114,74,14.7980428990646,336,251,251,255,1.99595308303833,0.92089195323105,5.597429695,45.44062498,CARRE N°380525,"",Massieu,colombier,STOC_EPS,38222,38,475,4000000,8000,0.085389312,0,0,0.013387143637064,0,400.521578893657,25959.0832274958,903029.511354178,6485693.9823901,903029.511354178,6485693.9823901
9,CARRE N°800028,"",Quend,le Bosquet,STOC_EPS,80649,80,5,4000000,8000,0.478918606,0.858974358974359,0,0.0256410256410256,0,0,0,0.0128205128205128,0,0.102564102564103,0,0,0,0,0,0,0,0,0,0,0.884615384615385,0.0128205128205128,0.102564102564103,0.0854559347936831,0.0337493632195619,0.64429444727458,0.0170657157412124,0,0.167727967396842,0.00318390219052471,0.0356597045338767,0,0,0,0,0.0128629648497198,0,0,0,0,0.0356597045338767,0,0.119205298013245,0.0356597045338767,0.829088130412634,0.00318390219052471,0.0128629648497198,0,0,0,0,0,0,0,0,0,0,0.0788809819293261,0,0,0,0,0.358921864648942,0,0,0.53580173889558,0.0100270576163439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406739944180221,0,0,0,0,0.00406949322214523,0,0,0,0.0303460183317133,0.31225121331456,0,0,0,0,0.194509383662239,0,0.0227449119974546,0.0072353328187917,0.0431020873463968,0.10637909615348,0,0,0.099925559300298,0,1.83439642923991e-05,0.00760181146042654,0,0.0175164863744864,0.0245316404397973,0,0,0,0.058049787204163,0,0.00524787393638012,0,0,0.00942860913853582,4.48000001907349,4.73726631240021,7.32683773513627,10.9723748962084,6.12808326880137,31.3216624118527,502.598416118675,20.6770000457764,1.11199998855591,19.5650000572205,8.49116671085358,7.10599998633067,17.1468332608541,4.99449984232585,667,81,43,22.0923818189945,219,134,145,173,0.2245272397995,0.985055217001818,1.595257483,50.30484887,CARRE N°800028,"",Quend,le Bosquet,STOC_EPS,80649,80,5,4000000,8000,0.478918606,0,0,0.00159722655135991,0,1145.4142299324,87478.5762599541,599801.126871278,7023892.73245236,599801.126871278,7023892.73245236
10,CARRE N°740581,Carré EPS N°0581,Vanzy,Mons (Vanzy),STOC_EPS,74291,74,378,4000000,8000,0.788898141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.090481038432171,0.00445405955713922,0.612624077373377,0.0389412064138458,0.0253245100534487,0.00254517688979384,0.102443369814202,0.113005853906847,0,0.00967167218121659,0.000254517688979384,0,0.000254517688979384,0,0,0,0,0.113005853906847,0,0.0949350979893103,0.113005853906847,0.679434970730466,0.112369559684398,0.000254517688979384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122517756865783,0.170233449952468,0,0.690880436256247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257040599673307,0.00439197240820435,0,0,0,0,0,0,0,0.00522949169786187,0.288943952563012,0,0.00397742156100908,0.00921090414245568,0,0.167680297319706,0,0.123249623401124,0.0337680105534003,0.296779502098586,0.00320346253710378,0.0173832489875611,0,0.00399267746332862,0,0,0,0,0.000117018382762682,0,0,0,0,0,0,0,0,0,0,303.910003662109,317.722029533939,465.418414598616,10.4944999714692,8.90316691001256,33.3451946577284,662.007962321099,23.3269996643066,-3.3730001449585,26.6999998092651,10.771500090758,6.26016668478648,18.7791665395101,2.55983338753382,1058,105,73,12.7497014742981,307,236,247,263,0.765381515026093,1.19179384407543,5.890871261,46.0260488,CARRE N°740581,Carré EPS N°0581,Vanzy,Mons (Vanzy),STOC_EPS,74291,74,378,4000000,8000,0.788898141,0,0,0,0,2311.66822494566,59285.691397544,923577.193618594,6551459.70134318,923577.193618594,6551459.70134318
