ID_GéoFLA;COMMUNE1;COMMUNE;COMMUNE0;STATUT;POPULATION;SUPERFICIE;CHEF_LIEU;ORDONNée0;CENTROïdE;ORDONNée_;MOYENNE;CANTON;ARRONDISSE;DépARTEME;DépARTEM0;RégION;NOM_RégIO;OBJECT_ID;LENGTH;SHAPE_AREA;Referent;x;y
2821;086;11086;CAVES;Commune simple;0.4;904;6523;17699;6510;17706;88;30;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2491;13720.0312777431;9405285.45787971;Emilie Louvet;696812.650806227;6204227.30538525
2822;087;11087;CAZALRENOUX;Commune simple;0.1;1378;5684;17996;5682;17985;323;16;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2492;17219.3545054571;13304251.6339614;Jean Muratet;614402.463512899;6232737.3297276
2823;088;11088;CAZILHAC;Commune simple;1.4;411;6022;17978;6018;17973;152;07;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2493;8259.82895076256;3842602.51933773;Maria Lanzellotti;647926.657072249;6231230.65345552
2824;089;11089;CENNE-MONESTIES;Commune simple;0.3;778;5822;18144;5832;18135;216;09;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2494;13239.04603197;7623764.94660246;Jean Muratet;629432.332169768;6247591.66831249
2825;090;11090;CEPIE;Commune simple;0.5;685;5924;17891;5919;17894;223;20;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2495;10301.0487841517;6744283.14220759;Karel Crombe;637994.625797246;6223478.11826211
2826;091;11091;CHALABRE;Chef-lieu de pseudo-canton;1.2;1605;5730;17757;5734;17754;455;11;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2496;22096.335378366;16285033.0848971;Karel Crombe;619329.792589554;6209678.0051166
2827;092;11092;CITOU;Commune simple;0.1;1775;6165;18193;6158;18193;557;25;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2497;19622.0160195111;17707155.6869746;Thomas Cuypers;662117.732961577;6253085.29988984
2828;093;11093;LE CLAT;Commune simple;0;1058;5861;17536;5866;17538;1063;03;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2498;14926.0913958101;11235221.21944;Carine Boucabeille;632367.142304141;6187909.69542052
2829;094;11094;CLERMONT-SUR-LAUQUET;Commune simple;0;1876;6069;17825;6075;17826;501;27;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2499;18021.0637229204;18773110.4696713;Etienne Ouvrard & Matthieu Vaslin;653528.707573147;6216506.52870547
2830;095;11095;COMIGNE;Commune simple;0.2;962;6199;17964;6202;17959;216;06;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2500;14138.2102070951;9394882.76636556;Maria Lanzellotti;666310.658452758;6229698.74663108
2831;096;11096;COMUS;Commune simple;0;1451;5634;17566;5632;17584;1267;04;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2501;16623.1977945554;14551373.4526171;Carine Boucabeille;609086.339474593;6192762.86202167
2832;097;11097;CONILHAC-DE-LA-MONTAGNE;Commune simple;0;468;5883;17750;5892;17751;474;13;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2502;9468.3765773292;4487415.35161013;Karel Crombe;635183.123372942;6209194.91174014
2833;098;11098;CONILHAC-CORBIERES;Commune simple;0.6;1228;6308;17985;6308;17980;95;19;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2503;14394.7912853113;12594978.5466931;Maria Lanzellotti;676929.764208135;6231769.00796053
2834;099;11099;CONQUES-SUR-ORBIEL;Chef-lieu de pseudo-canton;2.1;2601;6052;18075;6039;18090;168;12;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2504;24900.155239459;26726892.7238252;Thomas Cuypers;650072.009104671;6242980.53432387
2835;100;11100;CORBIERES;Commune simple;0;878;5717;17819;5725;17825;474;11;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2505;15883.8315244729;8911263.8434298;Karel Crombe;618496.169951783;6216743.22668411
2836;101;11101;COUDONS;Commune simple;0.1;975;5827;17622;5822;17622;976;26;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2506;14578.5477893456;9552658.95211734;Carine Boucabeille;628049.739047324;6196403.88876137
2837;102;11102;COUFFOULENS;Commune simple;0.5;1004;5975;17947;5974;17946;149;07;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2507;19051.9726719786;10895246.3580647;Maria Lanzellotti;643536.647524907;6228607.25194287
2736;001;11001;AIGUES-VIVES;Commune simple;0.5;1056;6160;18031;6159;18036;68;25;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2406;13077.9713431143;10360650.7781161;Maria Lanzellotti;662060.871259962;6237463.99425336
2737;002;11002;AIROUX;Commune simple;0.1;566;5618;18180;5624;18184;190;09;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2407;9416.58886033265;5760515.87708085;Jean Muratet;608757.627819157;6252675.63627201
2738;003;11003;AJAC;Commune simple;0.2;544;5837;17827;5836;17824;284;20;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2408;9984.93149243581;5252620.58508117;Karel Crombe;629611.335466112;6216564.5121811
2739;004;11004;ALAIGNE;Chef-lieu de pseudo-canton;0.3;1445;5799;17887;5800;17883;319;01;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2409;18678.9743706293;14738178.8815744;Karel Crombe;626079.464201794;6222500.77956111
2740;005;11005;ALAIRAC;Commune simple;0.7;1668;5921;17979;5918;17977;242;22;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2410;17025.3564335659;16786353.7295349;Jean Muratet;637966.740345608;6231721.42262656
