espece;frequence_mediane;proba
Eptnil;25;1
Eptnil;26;1
Eptnil;27;1
Eptnil;28;1
Eptnil;29;1
Eptnil;30;1
Eptnil;31;1
Eptnil;32;1
Eptnil;33;1
Eptnil;34;1
Eptnil;35;1
Eptnil;36;1
Eptnil;37;1
Eptnil;38;1
Eptnil;39;1
Eptnil;40;1
Vesmur;26;0.15
Vesmur;27;0.3
Vesmur;28;0.3
Vesmur;29;0.3
Vesmur;30;0.3
Vesmur;31;0.3
Vesmur;32;0.3
Vesmur;33;0.3
Vesmur;34;0.3
Vesmur;35;0.3
Vesmur;36;0.3
Vesmur;37;0.3
Vesmur;38;0.3
Vesmur;39;0.3
Vesmur;40;0.3
Eptser;27;0.15
Eptser;28;0.15
Eptser;29;0.15
Eptser;30;0.15
Eptser;31;0.15
Eptser;32;0.15
Eptser;33;0.15
Eptser;34;0.15
Eptser;35;0.15
Eptser;36;0.15
Eptser;37;0.15
Eptser;38;0.15
Eptser;39;0.15
Eptser;40;0.15
Nyclei;27;0.35
Nyclei;28;0.35
Nyclei;29;0.35
Nyclei;30;0.35
Nyclei;31;0.35
Nyclei;32;0.15
Nyclei;33;0.15
Nyclei;34;0.15
Nyclei;35;0.15
Nyclei;36;0.15
Nyclei;37;0.15
Nyclei;38;0.15
Nyclei;39;0.15
Nyclei;40;0.15
Hypsav;29;0.5
Hypsav;30;0.1
Hypsav;31;0.05
