EspNew;PMaxtot
Centaurea cineraria;77
Moitessieria rolandiana;75
Leucanthemum subglaucum;64
Jasminum nudiflorum;54
Bythinella eurystoma;53
Belgrandiella saxatilis;48
Mergellus albellus;45
Myopsalta crucifera;37
Avenionia berenguieri;36
Danilia tinei;36
Phigalia pilosaria;35
Narcissus papyraceus;34
Taraxacum aginnense;34
Moitessieria calloti;31
Senecio ruthenensis;29
Anser cygnoides;28
Centaurea corymbosa;25
Rhyzobius bassus;24
Theria primaria;24
Opuntia elatior;21
Festuca auquieri;20
Parmena solieri;20
Pinguicula longifolia;20
Cylindropuntia imbricata;17
Washingtonia filifera;17
Dichoropetalum schottii;16
Melampyrum vaudense;13
Anas formosa;11
Bythinella simoniana;11
Moitessieria aurea;11
Paludinella sicana;11
Barbus caninus;10
Colaspidea metallica;10
Ringicula auriculata;10
Euscorpius balearicus;9
Peringia ulvae;9
Typha provincialis;9
Hieracium bicknellianum;8
Sarkidiornis melanotos;8
Anas flavirostris;7
Asplenium exiguum;7
Crassula campestris;7
Eucalyptus sideroxylon;7
Galictis vittata;7
Inula bifrons;7
Chamaedorea schiedeana;6
Clematis cirrhosa;6
Cuthonella concinna;6
Lankesteria elegans;6
Parabuteo unicinctus;6
Platycheirus melanopsis;6
Veronica stricta;6
