Acacia.longifolia;Aix.sponsa;Amazona.aestiva;Arocatus.longiceps;Arundo.donaciformis;Asparagus.asparagoides;Attalus.maculicollis;Bartheletia.paradoxa;Belgrandiella.saxatilis;Bofilliella.subarcuata;Bruchus.lentis;Brunfelsia.australis;Charonia.tritonis;Clavaria.aurantia;Conistra.rubiginosa;Cryptolaemus.montrouzieri;Delairea.odorata;Ectoedemia.algeriensis;Epitonium.clathrus;Eranthis.hyemalis;Euparthenia.bulinea;Flammulina.velutipes;Haminoea.exigua;Hedera.algeriensis;Jasminum.nudiflorum;Kaloplocamus.ramosus;Marcetia.mucugensis;Melinopterus.consputus;Microxeromagna.lowei;Moitessieria.collellensis;Oeosporangium.tinaei;Oinophila.v.flava;Paladilhia.vernierensis;Parafomoria.pseudocistivora;Petaloptila.aliena;Phigalia.pilosaria;Platygloea.miedzyrzecensis;Polypodium.shivasiae;Raja.undulata;Retinella.olivetorum;Romulea.bocchierii;Solemya.togata;Tethys.fimbria;Theria.primaria;Tremella.mesenterica;Trifurcula.calycotomella;Trifurcula.josefklimeschi;Truncatella.subcylindrica;Unio.mancus;Uromyces.erythronii;Vandenboschia.speciosa;x;y
0;0.01;0.12;0.14;0.01;0.01;0;0.02;0.31;0.03;0.07;0.13;0;0.11;0.13;0.02;0.15;0.05;0.02;0.13;0.02;0.13;0;0;0.13;0.02;0.07;0.09;0.01;0.15;0.16;0.02;0.32;0.08;0.11;0.4;0.03;0.05;0.14;0.02;0.05;0.09;0;0.08;0.49;0.03;0.12;0.03;0.07;0;0.11;3.3265201155475;44.0036129478743
0;0.01;0.11;0.14;0.01;0;0;0.03;0.27;0.03;0.08;0.1;0;0.11;0.14;0.02;0.15;0.04;0.02;0.13;0.02;0.13;0;0;0.14;0.02;0.06;0.11;0.02;0.11;0.12;0.02;0.25;0.07;0.08;0.47;0.04;0.06;0.13;0.01;0.06;0.09;0;0.07;0.47;0.03;0.12;0.03;0.13;0.01;0.11;3.32655512120341;44.0097226505253
0;0;0.11;0.14;0.01;0.01;0;0.03;0.31;0.03;0.07;0.1;0;0.11;0.13;0.02;0.14;0.04;0.02;0.14;0.02;0.13;0;0;0.14;0.02;0.06;0.09;0.02;0.11;0.11;0.02;0.26;0.07;0.1;0.44;0.04;0.05;0.13;0.01;0.05;0.09;0;0.07;0.49;0.03;0.11;0.03;0.06;0;0.09;3.32659013436588;44.0158323744336
0;0.02;0.1;0.14;0.02;0;0.01;0.01;0.29;0.04;0.07;0.09;0;0.12;0.16;0.03;0.14;0.06;0.02;0.19;0.01;0.13;0;0;0.18;0;0.04;0.13;0.05;0.12;0.1;0.02;0.24;0.05;0.09;0.49;0.07;0.04;0.13;0.01;0.05;0.09;0;0.06;0.41;0.03;0.12;0.03;0.18;0.01;0.11;3.32662515503732;44.0219421195329
0;0.03;0.12;0.14;0.03;0;0.01;0.02;0.27;0.07;0.09;0.13;0.01;0.11;0.15;0.03;0.15;0.09;0.03;0.21;0.02;0.15;0.01;0;0.19;0.01;0.07;0.12;0.11;0.14;0.12;0.02;0.23;0.09;0.09;0.5;0.03;0.06;0.12;0.01;0.1;0.09;0;0.11;0.49;0.04;0.12;0.03;0.11;0;0.1;3.32666018322013;44.028051885757
0;0.02;0.15;0.14;0.01;0.02;0;0.03;0.31;0.04;0.07;0.17;0.02;0.09;0.2;0.03;0.15;0.09;0.02;0.15;0.02;0.15;0;0;0.13;0.08;0.12;0.17;0.07;0.12;0.12;0.03;0.39;0.08;0.08;0.46;0.08;0.05;0.17;0.02;0.06;0.08;0.04;0.08;0.53;0.03;0.11;0.03;0.16;0;0.1;3.32669521891675;44.0341616730395
0;0.02;0.15;0.14;0.01;0.01;0;0.03;0.29;0.05;0.08;0.17;0.02;0.09;0.21;0.03;0.17;0.09;0.02;0.14;0.02;0.15;0;0;0.15;0.08;0.12;0.17;0.1;0.11;0.13;0.05;0.39;0.06;0.08;0.45;0.07;0.05;0.16;0.02;0.06;0.08;0.03;0.08;0.5;0.03;0.11;0.03;0.18;0.01;0.1;3.32673026212959;44.0402714813143
0;0.02;0.15;0.14;0.01;0.02;0;0.04;0.33;0.04;0.1;0.17;0.02;0.09;0.22;0.02;0.15;0.09;0.02;0.15;0.01;0.15;0;0;0.14;0.08;0.12;0.16;0.07;0.13;0.13;0.05;0.4;0.08;0.08;0.43;0.06;0.05;0.13;0.03;0.06;0.08;0.05;0.1;0.53;0.03;0.11;0.03;0.14;0.01;0.11;3.32676531286107;44.0463813105149
0;0;0.11;0.14;0.01;0.02;0;0.02;0.32;0.03;0.07;0.13;0;0.1;0.14;0.02;0.17;0.05;0.02;0.14;0.01;0.14;0;0.01;0.14;0.01;0.07;0.09;0.01;0.14;0.24;0.02;0.3;0.06;0.1;0.45;0.02;0.05;0.14;0.03;0.05;0.09;0;0.09;0.5;0.03;0.15;0.03;0.05;0;0.1;3.33498458539128;44.0035873558885
0;0;0.12;0.14;0.01;0.02;0;0.03;0.32;0.04;0.07;0.14;0.01;0.1;0.13;0.02;0.17;0.06;0.02;0.18;0.01;0.14;0;0;0.13;0.01;0.08;0.11;0.04;0.14;0.15;0.02;0.29;0.07;0.08;0.46;0.02;0.05;0.13;0.02;0.07;0.09;0;0.09;0.48;0.03;0.12;0.03;0.07;0;0.11;3.33502049848683;44.0096970557066
