Scientific.name
Ventocoris rusticus
Steatoda triangulosa
Paratettix meridionalis
Chrysobothris affinis
Lampyris noctiluca
Nostoc commune
Milax nigricans
Terana coerulea
Catalpa bignonioides
Parodia erinaceus
Diponthus electus
Epidalea calamita
Ganoderma lucidum
Agapanthia asphodeli
Arctia festiva
Pseudophilotes vicrama
Motacilla alba
Oenanthe melanoleuca
Sympetrum fonscolombii
Monticola solitarius
Larus michahellis
Centaurea atropurpurea
Gulosus aristotelis
Galerida cristata
Muscicapa striata
Podarcis erhardii amorgensis
Acrocephalus schoenobaenus
Curruca melanocephala
Lanius senator
Sitta neumayer
Poecilimon zimmeri
Colias croceus
Lullula arborea
Emberiza cirlus
Polyommatus icarus
Spialia orbifer
Philaeus chrysops
Melitaea cinxia
Zygaena filipendulae
Melitaea didyma
Zerynthia rumina
Rhodostrophia calabra
Protaetia morio
Hippodamia variegata
Melitaea celadussa
Cydalima perspectalis
Lamprodila festiva
Lestes virens
Astrantia major
Judolia cerambyciformis
Centrotus cornutus
Prunella grandiflora
Achillea millefolium
Viola arvensis
Dactylorhiza maculata
Dianthus hyssopifolius
Bistorta officinalis
Selinum pyrenaeum
Rhododendron ferrugineum
Pedicularis pyrenaica
Pinguicula vulgaris
Eriophorum angustifolium
Carex viridula
Pilosella billyana
Gentiana pyrenaica
Ranunculus aconitifolius
Arnica montana
Micranthes stellaris
Briza media
Gymnadenia conopsea
Bartsia alpina
Antennaria dioica
Linaria alpina
Sempervivum montanum
Melampyrum pratense
Caltha palustris
Cardamine amara
Thesium pyrenaicum
Atocion rupestre
Phyteuma spicatum
Drosera rotundifolia
Saxifraga geranioides
Silene ciliata
Coenonympha glycerion
Helianthemum nummularium
Bistorta vivipara
Mylabris flexuosa
Dorcadion fuliginator
Pinus uncinata
Dianthus deltoides
Chorthippus saulcyi
Campanula persicifolia
Cephalanthera rubra
Athyrium filix-femina
Picris hieracioides
Mogoplistes brunneus
Centaurea paniculata
Mylabris quadripunctata
Mylabris variabilis
Catananche caerulea
Asperula cynanchica
Spilostethus saxatilis
Rhaponticum coniferum
Apodemus sylvaticus
Campanula glomerata
Cyperus eragrostis
Phleum pratense
Verbascum lychnitis
Betonica officinalis
Verbascum thapsus
Staria lunata
Oedaleus decorus
Carex pendula
Graphium macleayanus
Monistria concinna
Austracris guttulosa
Tiliqua nigrolutea
Vanessa kershawi
Anthochaera carunculata
Podargus strigoides
Digitaria ischaemum
Melilotus albus
Foeniculum vulgare
Chalcolestes viridis
Teucrium scordium
Echinops ritro
Petrosedum sediforme
Pistacia terebinthus
Buxus sempervirens
Juniperus oxycedrus
Setaria viridis
Lactuca serriola
Elymus pungens
Helminthotheca echioides
Boloria dia
Centaurea scabiosa
Cirsium vulgare
Sideritis montana
Lonicera xylosteum
Fallopia convolvulus
Amaranthus retroflexus
Centaurea solstitialis
Sanguisorba minor
Chenopodium album
Malva neglecta
Ajuga chamaepitys
Campanula trachelium
Timarcha nicaeensis
Clinopodium menthifolium
Digitaria sanguinalis
Bothriochloa barbinodis
Solanum nigrum
Chenopodium vulvaria
Calliptamus barbarus
Aulostomus chinensis
Chrysiptera biocellata
Dascyllus aruanus
Linckia laevigata
Hemigymnus melapterus
Parupeneus barberinus
Abudefduf sexfasciatus
Egretta sacra
Todiramphus sacer
Gnathothlibus eras
Coenobita rugosus
Zosterops lateralis
Myiagra vanikorensis
Gehyra oceanica
Holothuria atra
Rhinecanthus aculeatus
Caranx melampygus
Scolopsis trilineata
Naso unicornis
Chaetodon auriga
Lutjanus gibbus
Amphiprion chrysopterus
Cheilinus chlorourus
Erythrura pealii
Amblyglyphidodon curacao
Chrysiptera taupou
Pomacentrus maafu
Heniochus chrysostomus
Chaetodon lunulatus
Neoniphon sammara
Myripristis violacea
Oxymonacanthus longirostris
Chaetodon citrinellus
Parapercis xanthogramma
