Group.1;Group.2;Group.3;Group.4;x
Vigie-chiro - Routier-101;01/06/2009 21:44;direct; 1;1
Vigie-chiro - Routier-95;01/07/2007 00:15;direct; 1;1
Vigie-chiro - Routier-19;01/07/2007 00:30;direct; 1;1
Vigie-chiro - Routier-32;01/07/2007 00:30;direct; 1;1
Vigie-chiro - Routier-66;01/07/2007 00:30;direct; 1;1
Vigie-chiro - Routier-48;01/07/2007 23:30;direct; 1;1
Vigie-chiro - Routier-105;01/07/2008 00:45;direct; 1;1
Vigie-chiro - Routier-37;01/07/2008 00:45;direct; 1;1
Vigie-chiro - Routier-17;01/07/2008 00:54;direct; 1;1
Vigiechiro - Pédestre-910049;01/07/2008 01:54;direct; 1;1
Vigie-chiro - Routier-145;01/07/2009 00:30;direct; 1;1
Vigie-chiro - Routier-266;01/07/2009 00:30;direct; 1;1
Vigie-chiro - Routier-152;01/07/2009 00:39;direct; 1;1
Vigiechiro - Pédestre-581070;01/07/2009 01:59;direct; 1;1
Vigiechiro - Pédestre-590530;01/07/2009 22:35;direct; 1;1
Vigie-chiro - Routier-10;01/07/2010 00:16;direct; 1;1
Vigie-chiro - Routier-19;01/07/2010 00:30;direct; 1;1
Vigiechiro - Pédestre-770486;01/07/2010 00:35;direct; 1;1
Vigie-chiro - Routier-62;01/07/2010 00:45;direct; 1;1
Vigie-chiro - Routier-153;01/07/2011 00:35;direct; 1;1
Vigie-chiro - Routier-57;01/07/2011 00:47;direct; 1;1
Vigie-chiro - Routier-80;01/07/2011 22:23;direct; 1;1
Vigie-chiro - Routier-380;01/07/2013 01:00;direct; 1;1
Vigie-chiro - Routier-176;01/07/2013 22:34;direct; 1;1
Vigie-chiro - Routier-177;01/07/2013 23:15;direct; 1;1
Vigie-chiro - Routier-153;01/07/2014 00:40;direct; 1;1
Vigie-chiro - Routier-380;01/07/2014 00:57;direct; 1;1
Vigie-chiro - Routier-125;01/07/2014 22:35;direct; 1;1
Vigie-chiro - Routier-289;01/07/2015 22:40;direct; 1;1
Vigiechiro - Pédestre-441278;01/07/2015 22:43;direct; 1;1
Vigie-chiro - Routier-428;01/07/2015 23:10;direct; 1;1
Vigie-chiro - Routier-65;01/07/2016 00:45;direct; 1;1
Vigiechiro - Pédestre-750016;01/07/2017 22:30;direct; 1;1
Vigiechiro - Pédestre-740752;01/07/2019 22:02;direct; 1;1
Vigiechiro - Pédestre-220061;01/07/2019 22:30;direct; 1;1
Vigie-chiro - Routier-57;01/07/2019 22:45;direct; 1;1
Vigiechiro - Pédestre-290575;01/07/2019 23:00;direct; 1;1
Vigie-chiro - Routier-438;01/07/2020 22:37;direct; 1;2
Vigie-chiro - Routier-176;01/07/2020 22:45;direct; 1;2
Vigie-chiro - Routier-416;01/07/2020 22:45;direct; 1;1
Vigie-chiro - Routier-605;01/07/2021 22:00;direct; 1;1
Vigie-chiro - Routier-624;01/07/2021 22:00;direct; 1;1
Vigie-chiro - Routier-288;01/07/2021 22:35;direct; 1;1
Vigie-chiro - Routier-86;01/07/2021 22:35;direct; 1;1
Vigiechiro - Pédestre-621131;01/07/2021 22:45;direct; 1;1
Vigie-chiro - Routier-177;01/07/2021 22:50;direct; 1;1
Vigie-chiro - Routier-8;01/08/2007 00:00;direct; 1;1
Vigie-chiro - Routier-108;01/08/2009 00:42;direct; 1;1
Vigiechiro - Pédestre-940009;01/08/2012 22:07;direct; 1;1
Vigiechiro - Pédestre-220943;01/08/2013 01:07;direct; 1;1
Vigie-chiro - Routier-84;01/08/2017 22:57;direct; 1;1
Vigie-chiro - Routier-8;01/09/2007 00:00;direct; 1;1
Vigie-chiro - Routier-157;01/09/2008 23:12;direct; 1;1
Vigiechiro - Pédestre-940008;01/09/2010 21:05;direct; 1;1
Vigie-chiro - Routier-85;01/09/2010 21:56;direct; 1;1
Vigie-chiro - Routier-58;01/09/2011 23:25;direct; 1;1
Vigie-chiro - Routier-263;01/09/2014 20:45;direct; 1;1
Vigie-chiro - Routier-439;01/09/2014 23:09;direct; 1;1
Vigie-chiro - Routier-19;01/09/2014 23:10;direct; 1;1
Vigie-chiro - Routier-123;01/09/2015 21:15;direct; 1;1
Vigie-chiro - Routier-289;01/09/2015 21:17;direct; 1;1
Vigiechiro - Pédestre-220943;01/09/2015 22:00;direct; 1;1
Vigie-chiro - Routier-62;01/09/2015 23:23;direct; 1;1
Vigiechiro - Pédestre-590530;01/09/2016 19:00;direct; 1;1
Vigiechiro - Pédestre-621070;01/09/2016 21:05;direct; 1;1
Vigiechiro - Pédestre-560864;01/09/2016 21:30;direct; 1;1
Vigiechiro - Pédestre-220885;01/09/2016 21:37;direct; 1;1
Vigie-chiro - Routier-398;01/09/2016 23:22;direct; 1;1
Vigie-chiro - Routier-625;01/09/2020 21:10;direct; 1;1
Vigie-chiro - Routier-85;01/09/2020 21:17;direct; 1;1
Vigie-chiro - Routier-62;01/09/2020 21:20;direct; 1;1
Vigie-chiro - Routier-622;01/09/2021 20:55;direct; 1;1
Vigie-chiro - Routier-90;01/10/2007 21:30;direct; 1;1
Vigiechiro - Pédestre-340992;01/10/2013 20:00;direct; 1;1
Vigiechiro - Pédestre-831049;02/06/2009 22:20;direct; 1;1
Vigiechiro - Pédestre-581117;02/07/2007 00:15;direct; 1;1
Vigie-chiro - Routier-11;02/07/2007 00:30;direct; 1;1
Vigie-chiro - Routier-188;02/07/2008 00:15;direct; 1;1
Vigie-chiro - Routier-119;02/07/2008 00:30;direct; 1;1
Vigie-chiro - Routier-56;02/07/2008 02:45;direct; 1;1
Vigie-chiro - Routier-190;02/07/2009 00:20;direct; 1;1
Vigie-chiro - Routier-154;02/07/2009 00:24;direct; 1;1
Vigie-chiro - Routier-4;02/07/2009 00:25;direct; 1;1
Vigie-chiro - Routier-43;02/07/2009 00:30;direct; 1;1
Vigie-chiro - Routier-65;02/07/2009 01:05;direct; 1;1
Vigiechiro - Pédestre-750007;02/07/2009 01:05;direct; 1;1
Vigie-chiro - Routier-127;02/07/2009 22:30;direct; 1;1
Vigie-chiro - Routier-65;02/07/2010 00:45;direct; 1;1
Vigiechiro - Pédestre-851040;02/07/2011 00:49;direct; 1;1
Vigie-chiro - Routier-263;02/07/2011 22:00;direct; 1;1
Vigiechiro - Pédestre-621070;02/07/2012 00:42;direct; 1;1
Vigie-chiro - Routier-87;02/07/2012 22:40;direct; 1;1
Vigie-chiro - Routier-123;02/07/2013 00:25;direct; 1;1
Vigiechiro - Pédestre-861550;02/07/2013 00:28;direct; 1;1
Vigie-chiro - Routier-151;02/07/2013 00:30;direct; 1;1
Vigie-chiro - Routier-159;02/07/2014 00:30;direct; 1;1
Vigie-chiro - Routier-85;02/07/2014 01:22;direct; 1;1
Vigiechiro - Pédestre-590530;02/07/2014 22:30;direct; 1;1
Vigiechiro - Pédestre-590514;02/07/2015 01:57;direct; 1;1
Vigiechiro - Pédestre-220447;02/07/2015 23:00;direct; 1;1
Vigiechiro - Pédestre-290575;02/07/2015 23:15;direct; 1;1
Vigiechiro - Pédestre-590514;02/07/2016 22:30;direct; 1;1
Vigie-chiro - Routier-438;02/07/2018 22:31;direct; 1;1
Vigie-chiro - Routier-382;02/07/2018 22:50;direct; 1;1
Vigie-chiro - Routier-624;02/07/2019 22:00;direct; 1;1
Vigiechiro - Pédestre-771118;02/07/2019 22:20;direct; 1;1
Vigiechiro - Pédestre-771120;02/07/2019 22:20;direct; 1;1
Vigie-chiro - Routier-439;02/07/2019 22:31;direct; 1;1
Vigie-chiro - Routier-65;02/07/2020 22:45;direct; 1;1
Vigie-chiro - Routier-123;02/07/2021 22:30;direct; 1;1
Vigie-chiro - Routier-81;02/07/2021 22:41;direct; 1;1
Vigie-chiro - Routier-439;02/07/2021 22:52;direct; 1;1
Vigie-chiro - Routier-436;02/08/2009 00:15;direct; 1;1
Vigie-chiro - Routier-116;02/08/2009 23:45;direct; 1;1
Vigie-chiro - Routier-63;02/09/2008 01:15;direct; 1;1
Vigie-chiro - Routier-5;02/09/2008 22:45;direct; 1;1
Vigie-chiro - Routier-105;02/09/2008 23:30;direct; 1;1
Vigie-chiro - Routier-193;02/09/2009 23:15;direct; 1;1
Vigie-chiro - Routier-80;02/09/2010 20:55;direct; 1;1
Vigie-chiro - Routier-263;02/09/2011 20:40;direct; 1;1
Vigiechiro - Pédestre-861550;02/09/2013 23:00;direct; 1;1
Vigie-chiro - Routier-127;02/09/2014 21:32;direct; 1;1
