X;Y;NUMNAT
4.764111971;51.50311051;980001
4.792805478;51.5025536;980002
4.73454222;51.4857527;980003
4.763225907;51.48520251;980004
4.791908947;51.48464579;980005
4.820591282;51.48408251;980006
5.021348175;51.4799565;980007
5.050024839;51.47934091;980008
4.446900043;51.47298423;980009
4.47557951;51.47249965;980010
4.504258397;51.47200854;980011
4.532936657;51.47151086;980012
4.704993396;51.46838744;980013
4.733667261;51.46784397;980014
4.762340488;51.46729397;980015
4.791013069;51.46673743;980016
4.819684948;51.46617434;980017
4.991701707;51.46265855;980018
5.020368651;51.4620497;980019
5.049034862;51.46143432;980020
5.077700349;51.46081241;980021
4.388790549;51.4560225;980022
4.417460698;51.45555116;980023
4.44613027;51.45507328;980024
4.47479928;51.45458886;980025
4.503467713;51.4540979;980026
4.532135516;51.45360039;980027
4.675465427;51.45101475;980028
4.704129528;51.450478;980029
4.732792941;51.44993471;980030
4.761455716;51.44938489;980031
4.790117845;51.44882853;980032
4.818779274;51.44826564;980033
4.990733342;51.44475101;980034
5.019389842;51.44414236;980035
5.048045607;51.44352719;980036
5.076700649;51.44290548;980037
4.388042237;51.4381107;980038
4.416701936;51.43763952;980039
4.445361059;51.43716179;980040
4.47401962;51.43667753;980041
4.502677606;51.43618673;980042
4.531334959;51.43568938;980043
4.645958345;51.43363462;980044
4.674612634;51.43310459;980045
4.703266291;51.43256803;980046
4.731919259;51.43202491;980047
4.760571589;51.43147527;980048
4.789223275;51.4309191;980049
4.817874262;51.43035639;980050
4.961118866;51.42744483;980051
4.989765683;51.42684293;980052
5.018411747;51.42623449;980053
5.047057073;51.42561952;980054
5.075701678;51.42499802;980055
4.387294471;51.42019837;980056
4.415943728;51.41972734;980057
4.444592409;51.41924977;980058
4.473240528;51.41876566;980059
4.501888075;51.41827503;980060
4.530534986;51.41777784;980061
4.559181315;51.41727412;980062
4.587827052;51.41676388;980063
4.61647215;51.41624709;980064
4.645116613;51.41572376;980065
4.673760463;51.4151939;980066
4.702403684;51.41465751;980067
4.731046214;51.41411458;980068
4.759688107;51.41356512;980069
4.788329356;51.41300913;980070
4.81696991;51.41244661;980071
4.845609775;51.41187755;980072
4.874248974;51.41130196;980073
4.931525262;51.41013119;980074
4.960162345;51.40953602;980075
4.98879873;51.40893431;980076
5.017434365;51.40832607;980077
5.04606926;51.40771131;980078
5.074703436;51.40709002;980079
4.38654725;51.4022855;980080
4.415186073;51.40181463;980081
4.443824319;51.40133721;980082
4.472462005;51.40085327;980083
4.501099119;51.40036279;980084
4.529735597;51.39986577;980085
4.558371491;51.39936221;980086
4.587006796;51.39885213;980087
4.615641463;51.39833551;980088
4.644275494;51.39781236;980089
4.672908912;51.39728267;980090
4.701541704;51.39674646;980091
4.730173803;51.39620371;980092
4.758805267;51.39565443;980093
4.787436087;51.39509863;980094
4.816066213;51.39453629;980095
4.84469565;51.39396742;980096
4.873324421;51.39339203;980097
4.901952512;51.39281011;980098
4.930579858;51.39222165;980099
4.959206515;51.39162667;980100
4.987832476;51.39102516;980101
5.01645769;51.39041713;980102
5.045082162;51.38980257;980103
5.073705916;51.38918149;980104
4.385800569;51.38437211;980105
4.414428967;51.38390139;980106
4.443056784;51.38342412;980107
4.471684043;51.38294034;980108
4.500310733;51.38245003;980109
4.528936783;51.38195316;980110
4.557562251;51.38144977;980111
4.586187129;51.38093986;980112
4.614811373;51.38042341;980113
4.64343498;51.37990043;980114
4.672057974;51.37937092;980115
4.700680345;51.37883489;980116
4.729302021;51.37829231;980117
4.757923062;51.37774321;980118
4.78654346;51.37718759;980119
4.815163168;51.37662544;980120
4.843782185;51.37605676;980121
4.872400536;51.37548156;980122
4.901018211;51.37489983;980123
4.929635138;51.37431157;980124
4.958251378;51.37371679;980125
4.986866921;51.37311548;980126
5.015481721;51.37250765;980127
5.044095779;51.3718933;980128
5.072709119;51.37127243;980129
3.325863939;51.37927308;980130
3.354497174;51.3790445;980131
4.213335059;51.36914439;980132
4.241956273;51.36871301;980133
4.270576982;51.36827512;980134
4.299197177;51.36783069;980135
4.327816793;51.36737971;980136
4.413672411;51.36598761;980137
4.442289809;51.36551051;980138
4.470906648;51.36502688;980139
4.49952292;51.36453673;980140
4.528138551;51.36404003;980141
4.5567536;51.36353681;980142
4.58536806;51.36302706;980143
4.613981888;51.36251078;980144
4.642595078;51.36198797;980145
4.671207656;51.36145864;980146
4.699819613;51.36092278;980147
4.728430874;51.36038038;980148
4.7570415;51.35983147;980149
4.785651484;51.35927603;980150
4.814260781;51.35871406;980151
4.842869385;51.35814557;980152
4.871477324;51.35757056;980153
4.90008459;51.35698903;980154
4.928691106;51.35640096;980155
4.957296936;51.35580638;980156
4.98590207;51.35520527;980157
5.014506464;51.35459765;980158
5.043110115;51.3539835;980159
5.071713048;51.35336283;980160
5.100315254;51.35273565;980161
3.239633925;51.36200075;980162
3.26825746;51.36179188;980163
3.296880747;51.36157649;980164
3.325503818;51.36135451;980165
3.35412663;51.361126;980166
4.21265195;51.35122906;980167
4.241262748;51.35079783;980168
4.269873042;51.35036007;980169
4.298482824;51.34991579;980170
4.327092027;51.34946496;980171
4.355700701;51.34900761;980172
4.384308839;51.34854373;980173
4.412916406;51.34807332;980174
4.441523391;51.34759637;980175
